cancer	id.cancer	sex	age	country_name	year	deaths	crude.rate	ASR..W.	Cumulative.risk
		Male		Armenia	1996.0	2107			
		Male		Armenia	1997.0	2081			
		Male		Armenia	1998.0	2042			
		Male		Armenia	1999.0	2228			
		Male		Armenia	2000.0	2158			
		Male		Armenia	2001.0	2273			
		Male		Armenia	2002.0	2365			
		Male		Armenia	2003.0	2396			
		Male		Armenia	2006.0	2494			
		Male		Armenia	2008.0	2630			
		Male		Armenia	2009.0	2578			
		Male		Armenia	2010.0	2647			
		Female		Australia	1950.0	5075			
		Female		Australia	1951.0	5104			
		Female		Australia	1952.0	5321			
		Female		Australia	1953.0	5537			
		Female		Australia	1954.0	5568			
		Female		Australia	1955.0	5615			
		Female		Australia	1956.0	5850			
		Female		Australia	1957.0	5877			
		Female		Australia	1958.0	5814			
		Female		Australia	1959.0	6114			
		Female		Australia	1960.0	6092			
		Female		Australia	1961.0	6308			
		Female		Australia	1962.0	6402			
		Female		Australia	1963.0	6808			
		Female		Australia	1964.0	6858			
		Female		Australia	1965.0	6793			
		Female		Australia	1966.0	7098			
		Female		Australia	1967.0	7246			
		Female		Australia	1968.0	7556			
		Female		Australia	1969.0	7687			
		Female		Australia	1970.0	8062			
		Female		Australia	1971.0	8143			
		Female		Australia	1972.0	8277			
		Female		Australia	1973.0	8620			
		Female		Australia	1974.0	8635			
		Female		Australia	1975.0	8846			
		Female		Australia	1976.0	9220			
		Female		Australia	1977.0	9349			
		Female		Australia	1978.0	9381			
		Female		Australia	1979.0	9482			
		Female		Australia	1980.0	9955			
		Female		Australia	1981.0	10065			
		Female		Australia	1982.0	10669			
		Female		Australia	1983.0	11164			
		Female		Australia	1984.0	11580			
		Female		Australia	1985.0	11863			
		Female		Australia	1986.0	12050			
		Female		Australia	1987.0	12399			
		Female		Australia	1988.0	12651			
		Female		Australia	1989.0	13028			
		Female		Australia	1990.0	13089			
		Female		Australia	1991.0	13700			
		Female		Australia	1992.0	13677			
		Female		Australia	1993.0	14152			
		Female		Australia	1994.0	14409			
		Female		Australia	1995.0	14521			
		Female		Australia	1996.0	15010			
		Female		Australia	1997.0	15005			
		Female		Australia	1998.0	15151			
		Female		Australia	1999.0	15201			
		Female		Australia	2000.0	15547			
		Female		Australia	2001.0	16026			
		Female		Australia	2002.0	16434			
		Female		Australia	2003.0	16469			
		Female		Australia	2004.0	16618			
		Female		Australia	2006.0	16877			
		Female		Australia	2007.0	17095			
		Female		Australia	2008.0	18004			
		Female		Australia	2009.0	17804			
		Female		Australia	2010.0	18309			
		Male		Australia	1950.0	5354			
		Male		Australia	1951.0	5515			
		Male		Australia	1952.0	5813			
		Male		Australia	1953.0	5970			
		Male		Australia	1954.0	6042			
		Male		Australia	1955.0	6271			
		Male		Australia	1956.0	6430			
		Male		Australia	1957.0	6801			
		Male		Australia	1958.0	6832			
		Male		Australia	1959.0	7128			
		Male		Australia	1960.0	7204			
		Male		Australia	1961.0	7380			
		Male		Australia	1962.0	7661			
		Male		Australia	1963.0	7967			
		Male		Australia	1964.0	8304			
		Male		Australia	1965.0	8338			
		Male		Australia	1966.0	8689			
		Male		Australia	1967.0	8923			
		Male		Australia	1968.0	9562			
		Male		Australia	1969.0	9661			
		Male		Australia	1970.0	10057			
		Male		Australia	1971.0	10195			
		Male		Australia	1972.0	10507			
		Male		Australia	1973.0	10775			
		Male		Australia	1974.0	11334			
		Male		Australia	1975.0	11508			
		Male		Australia	1976.0	11790			
		Male		Australia	1977.0	12013			
		Male		Australia	1978.0	12506			
		Male		Australia	1979.0	12656			
		Male		Australia	1980.0	13375			
		Male		Australia	1981.0	13742			
		Male		Australia	1982.0	14160			
		Male		Australia	1983.0	14525			
		Male		Australia	1984.0	14975			
		Male		Australia	1985.0	15488			
		Male		Australia	1986.0	15647			
		Male		Australia	1987.0	16279			
		Male		Australia	1988.0	16746			
		Male		Australia	1989.0	17390			
		Male		Australia	1990.0	17218			
		Male		Australia	1991.0	17488			
		Male		Australia	1992.0	18209			
		Male		Australia	1993.0	18369			
		Male		Australia	1994.0	19393			
		Male		Australia	1995.0	18860			
		Male		Australia	1996.0	19441			
		Male		Australia	1997.0	19285			
		Male		Australia	1998.0	19881			
		Male		Australia	1999.0	19910			
		Male		Australia	2000.0	20293			
		Male		Australia	2001.0	20692			
		Male		Australia	2002.0	21027			
		Male		Australia	2003.0	21001			
