id.cancer	sex	age	country_name	year	cases.number
	Female		Australia	1971	26349
	Female		Australia	1972	26811
	Female		Australia	1973	28010
	Female		Australia	1974	27935
	Female		Australia	1975	28680
	Female		Australia	1976	29842
	Female		Australia	1977	29827
	Female		Australia	1978	30129
	Female		Australia	1979	30804
	Female		Australia	1980	32347
	Female		Australia	1981	31944
	Female		Australia	1982	34366
	Female		Australia	1983	35801
	Female		Australia	1984	36931
	Female		Australia	1985	38028
	Female		Australia	1986	38569
	Female		Australia	1987	39652
	Female		Australia	1988	40002
	Female		Australia	1989	41050
	Female		Australia	1990	41045
	Female		Australia	1991	42882
	Female		Australia	1992	42664
	Female		Australia	1993	44240
	Female		Australia	1994	45172
	Female		Australia	1995	45083
	Female		Australia	1996	46622
	Female		Australia	1997	46530
	Female		Australia	1998	46866
	Female		Australia	1999	46796
	Female		Australia	2000	47863
	Female		Australia	2001	49238
	Female		Australia	2002	50210
	Female		Australia	2003	49848
	Female		Australia	2004	49732
	Female		Australia	2006	49694
	Female		Australia	2007	50672
	Female		Australia	2008	53207
	Female		Australia	2009	52463
	Female		Australia	2010	53758
	Male		Australia	1950	14790
	Male		Australia	1951	15132
	Male		Australia	1952	15802
	Male		Australia	1953	16126
	Male		Australia	1954	16243
	Male		Australia	1955	19216
	Male		Australia	1956	19587
	Male		Australia	1957	20710
	Male		Australia	1958	20732
	Male		Australia	1959	21585
	Male		Australia	1960	21615
	Male		Australia	1961	21913
	Male		Australia	1962	22722
	Male		Australia	1963	23664
	Male		Australia	1964	24527
	Male		Australia	1965	24509
	Male		Australia	1966	25519
	Male		Australia	1967	26075
	Male		Australia	1968	28258
	Male		Australia	1969	28217
	Male		Australia	1970	29481
	Male		Australia	1971	29987
	Male		Australia	1972	30863
	Male		Australia	1973	31727
	Male		Australia	1974	33454
	Male		Australia	1975	33971
	Male		Australia	1976	34626
	Male		Australia	1977	35381
	Male		Australia	1978	36833
	Male		Australia	1979	37274
	Male		Australia	1980	38969
	Male		Australia	1981	39938
	Male		Australia	1982	41610
	Male		Australia	1983	42878
	Male		Australia	1984	44116
	Male		Australia	1985	45815
	Male		Australia	1986	46218
	Male		Australia	1987	48209
	Male		Australia	1988	49569
	Male		Australia	1989	51297
	Male		Australia	1990	50963
	Male		Australia	1991	51741
	Male		Australia	1992	53868
	Male		Australia	1993	54629
	Male		Australia	1994	57612
	Male		Australia	1995	55970
	Male		Australia	1996	57783
	Male		Australia	1997	57580
	Male		Australia	1998	59139
	Male		Australia	1999	59396
	Male		Australia	2000	60851
	Male		Australia	2001	62115
	Male		Australia	2002	62498
	Male		Australia	2003	62374
	Male		Australia	2004	62741
	Male		Australia	2006	63759
	Male		Australia	2007	65245
	Male		Australia	2008	68056
	Male		Australia	2009	67882
	Male		Australia	2010	70329
	Female		Austria	1955	22723
	Female		Austria	1956	23375
	Female		Austria	1957	24067
	Female		Austria	1958	23936
	Female		Austria	1959	24092
	Female		Austria	1960	23905
	Female		Austria	1961	24592
	Female		Austria	1962	24470
	Female		Austria	1963	25480
	Female		Austria	1964	26314
	Female		Austria	1965	26241
	Female		Austria	1966	26834
	Female		Austria	1967	26923
	Female		Austria	1968	27037
	Female		Austria	1969	27099
	Female		Austria	1970	27455
	Female		Austria	1971	29481
	Female		Austria	1972	29660
	Female		Austria	1973	29411
	Female		Austria	1974	30409
	Female		Austria	1975	29600
	Female		Austria	1976	29652
	Female		Austria	1977	29897
	Female		Austria	1978	28863
	Female		Austria	1979	28922
	Female		Austria	1980	30363
	Female		Austria	1981	30547
	Female		Austria	1982	30585
	Female		Austria	1983	30416
	Female		Austria	1984	30802
	Female		Austria	1985	30274
	Female		Austria	1986	30008
	Female		Austria	1987	30768
	Female		Austria	1988	30468
	Female		Austria	1989	30245
	Female		Austria	1990	30752
	Female		Austria	1991	30294
	Female		Austria	1992	30727
	Female		Austria	1993	30604
	Female		Austria	1994	30134
	Female		Austria	1995	30198
	Female		Austria	1996	29055
	Female		Austria	1997	28886
	Female		Austria	1998	28459
	Female		Austria	1999	28740
	Female		Austria	2000	28976
	Female		Austria	2001	28119
	Female		Austria	2002	27881
	Female		Austria	2003	28827
	Female		Austria	2004	28348
	Female		Austria	2005	28247
	Female		Austria	2006	27653
	Female		Austria	2007	27372
	Female		Austria	2008	27878
	Female		Austria	2009	27672
	Female		Austria	2010	28035
	Male		Austria	1955	23852
	Male		Austria	1956	24034
	Male		Austria	1957	24428
	Male		Austria	1958	24991
	Male		Austria	1959	24817
	Male		Austria	1960	25561
	Male		Austria	1961	25960
	Male		Austria	1962	25617
	Male		Austria	1963	25920
	Male		Austria	1964	25933
	Male		Austria	1965	27350
	Male		Austria	1966	27017
	Male		Austria	1967	27634
	Male		Austria	1968	27478
	Male		Austria	1969	26137
	Male		Austria	1970	26738
	Male		Austria	1971	28831
	Male		Austria	1972	28518
	Male		Austria	1973	28850
	Male		Austria	1974	28911
	Male		Austria	1975	28350
	Male		Austria	1976	28934
	Male		Austria	1977	28202
	Male		Austria	1978	29011
	Male		Austria	1979	28589
	Male		Austria	1980	29116
	Male		Austria	1981	28708
	Male		Austria	1982	28244
	Male		Austria	1983	27949
	Male		Austria	1984	28445
	Male		Austria	1985	27846
	Male		Austria	1986	27872
	Male		Austria	1987	28246
	Male		Austria	1988	28231
	Male		Austria	1989	28352
	Male		Austria	1990	29199
	Male		Austria	1991	29603
	Male		Austria	1992	29365
	Male		Austria	1993	29852
	Male		Austria	1994	28821
	Male		Austria	1995	29161
	Male		Austria	1996	29178
	Male		Austria	1997	29138
	Male		Austria	1998	28984
	Male		Austria	1999	29219
	Male		Austria	2000	28816
	Male		Austria	2001	28835
	Male		Austria	2002	29743
	Male		Austria	2003	30565
	Male		Austria	2004	30271
	Male		Austria	2005	29937
	Male		Austria	2006	30103
	Male		Austria	2007	29772
	Male		Austria	2008	31288
